x:2147257776, y:2147249234
x:2147519266, y:2147249011
x:2147548217, y:2147299647
x:2147528896, y:2147297884
x:2147509580, y:2147277624
x:2147488126, y:2147247924
x:2147529255, y:2147229474
x:2147497935, y:2147238488
x:2147529200, y:2147219104
x:2147558334, y:2147229198
x:2147489483, y:2147258027
x:2147558191, y:2147269673
x:2147588410, y:2147248320
x:2147607839, y:2147298326
x:2147647701, y:2147238871
x:2147578490, y:2147278047
x:2147657724, y:2147228167
x:2147578971, y:2147258169
x:2147618104, y:2147218319
x:2147619649, y:2147249007
x:2147578520, y:2147219038
x:2147638288, y:2147287783
x:2147659398, y:2147258263
x:2147608838, y:2147227899
x:2147609223, y:2147269668
x:2147619062, y:2147278916
x:2147649067, y:2147268989
x:2147617937, y:2147238166
x:2147588959, y:2147269210
x:2147617889, y:2147289428
x:2147597580, y:2147278029
x:2147627792, y:2147258286
x:2147637684, y:2147238582
x:2147577701, y:2147247890
x:2147627607, y:2147298655
x:2147608306, y:2147219671
x:2147629331, y:2147249488
x:2147618785, y:2147269443
x:2147609449, y:2147258038
x:2147609453, y:2147288184
x:2147579311, y:2147229400
x:2147658387, y:2147217661
x:2147638454, y:2147279350
x:2147647697, y:2147249602
x:2147659159, y:2147297743
x:2147648951, y:2147288252
x:2147629313, y:2147269137
x:2147657602, y:2147269338
x:2147579443, y:2147289170
x:2147588849, y:2147229247
x:2147639485, y:2147259323
x:2147638857, y:2147228095
x:2147588480, y:2147238589
x:2147649585, y:2147298941
x:2147618455, y:2147259615
x:2147627999, y:2147289406
x:2147598073, y:2147227635
x:2147729055, y:2147218553
x:2147749537, y:2147268253
x:2147717904, y:2147268568
x:2147718022, y:2147299000
x:2147717938, y:2147218188
x:2147749180, y:2147279704
x:2147679681, y:2147218757
x:2147707716, y:2147247998
x:2147709232, y:2147268631
x:2147689064, y:2147219514
x:2147719192, y:2147228333
x:2147718932, y:2147288761
x:2147707923, y:2147239260
x:2147737736, y:2147228784
x:2147698405, y:2147237673
x:2147668225, y:2147229679
x:2147688228, y:2147278799
x:2147668582, y:2147298916
x:2147709149, y:2147297828
x:2147697661, y:2147289388
x:2147749406, y:2147297574
x:2147738026, y:2147239019
x:2147738514, y:2147278136
x:2147727584, y:2147247675
x:2147708924, y:2147278043
x:2147707874, y:2147258114
x:2147708204, y:2147228910
x:2147688205, y:2147247875
x:2147698240, y:2147297843
x:2147699256, y:2147259535
x:2147718981, y:2147237701
x:2147697590, y:2147228021
x:2147699543, y:2147267652
x:2147737627, y:2147287754
x:2147688605, y:2147228020
x:2147738671, y:2147259261
x:2147728460, y:2147267617
x:2147699711, y:2147219344
x:2147678978, y:2147269471
x:2147729478, y:2147259146
x:2147688629, y:2147257801
x:2147719097, y:2147259576
x:2147718702, y:2147247584
x:2147749112, y:2147228458
x:2147698312, y:2147249707
x:2147679161, y:2147248270
x:2147737721, y:2147248691
x:2147748764, y:2147289408
x:2147218184, y:2147369290
x:2147259162, y:2147317708
x:2147268139, y:2147388198
x:2147297756, y:2147317707
x:2147258868, y:2147327579
x:2147228261, y:2147348900
x:2147228764, y:2147368420
x:2147238376, y:2147319108
x:2147299113, y:2147329619
x:2147219131, y:2147338955
x:2147228084, y:2147328704
x:2147218602, y:2147388179
x:2147267857, y:2147379665
x:2147269290, y:2147347681
x:2147298475, y:2147377852
x:2147258126, y:2147358329
x:2147258719, y:2147389205
x:2147218856, y:2147358484
x:2147229395, y:2147377939
x:2147298708, y:2147309417
x:2147277768, y:2147328952
x:2147228242, y:2147318212
x:2147218423, y:2147329021
x:2147268590, y:2147308488
x:2147279587, y:2147348915
x:2147217791, y:2147378859
x:2147228939, y:2147357613
x:2147248547, y:2147308293
x:2147227918, y:2147339625
x:2147289580, y:2147367629
x:2147288247, y:2147377901
x:2147258822, y:2147367749
x:2147318696, y:2147359144
x:2147309693, y:2147368087
x:2147308512, y:2147328800
x:2147308867, y:2147389265
x:2147328163, y:2147358721
x:2147348646, y:2147368815
x:2147307618, y:2147338080
x:2147369025, y:2147338484
x:2147328624, y:2147329424
x:2147347790, y:2147377738
x:2147379663, y:2147368683
x:2147367932, y:2147369537
x:2147328632, y:2147338535
x:2147358022, y:2147387633
x:2147388978, y:2147369156
x:2147347625, y:2147388099
x:2147367601, y:2147359581
x:2147318214, y:2147318526
x:2147318146, y:2147349240
x:2147348898, y:2147328229
x:2147349156, y:2147349305
x:2147389407, y:2147328475
x:2147367617, y:2147328501
x:2147377878, y:2147389101
x:2147387820, y:2147347832
x:2147339363, y:2147329286
x:2147357597, y:2147378649
x:2147327876, y:2147379429
x:2147318172, y:2147367585
x:2147379285, y:2147307973
x:2147338002, y:2147318075
x:2147368779, y:2147317620
x:2147369387, y:2147388975
x:2147319263, y:2147387772
x:2147468816, y:2147317751
x:2147399127, y:2147328625
x:2147467767, y:2147309462
x:2147398852, y:2147318398
x:2147429172, y:2147349130
x:2147468028, y:2147388640
x:2147419398, y:2147369273
x:2147399712, y:2147337793
x:2147437919, y:2147387708
x:2147428082, y:2147387949
x:2147429621, y:2147359276
x:2147469328, y:2147349612
x:2147458937, y:2147338198
x:2147399670, y:2147379684
x:2147417752, y:2147309387
x:2147418686, y:2147318288
x:2147448100, y:2147339629
x:2147468484, y:2147358794
x:2147407993, y:2147359621
x:2147407667, y:2147329439
x:2147469553, y:2147338293
x:2147399164, y:2147368903
x:2147438573, y:2147318965
x:2147408266, y:2147309406
x:2147429147, y:2147318655
x:2147407959, y:2147348421
x:2147439350, y:2147328460
x:2147409127, y:2147389087
x:2147398524, y:2147349602
x:2147478616, y:2147318133
x:2147429236, y:2147328337
x:2147458292, y:2147327890
x:2147458691, y:2147318155
x:2147448245, y:2147369605
x:2147409253, y:2147318184
x:2147467767, y:2147327677
x:2147549050, y:2147378007
x:2147517886, y:2147389517
x:2147517999, y:2147348211
x:2147517959, y:2147379404
x:2147548907, y:2147368904
x:2147559307, y:2147318242
x:2147567968, y:2147308250
x:2147487979, y:2147368428
x:2147519240, y:2147339032
x:2147539028, y:2147358804
x:2147537734, y:2147319509
x:2147499088, y:2147378570
x:2147508552, y:2147308424
x:2147509610, y:2147327845
x:2147558358, y:2147368308
x:2147528655, y:2147369296
x:2147518962, y:2147328839
x:2147559156, y:2147337836
x:2147498906, y:2147357968
x:2147498893, y:2147328085
x:2147539480, y:2147308384
x:2147539392, y:2147349494
x:2147529159, y:2147339654
x:2147498338, y:2147369458
x:2147548285, y:2147338390
x:2147568220, y:2147388630
x:2147557704, y:2147329229
x:2147559209, y:2147347970
x:2147508550, y:2147348297
x:2147488316, y:2147328479
x:2147548423, y:2147388066
x:2147559217, y:2147359042
x:2147538051, y:2147377954
x:2147548992, y:2147359224
x:2147487700, y:2147308297
x:2147498703, y:2147338984
x:2147549015, y:2147318871
x:2147507981, y:2147358106
x:2147598261, y:2147338931
x:2147578272, y:2147328324
x:2147618066, y:2147337838
x:2147657793, y:2147369407
x:2147599605, y:2147307681
x:2147628875, y:2147388345
x:2147618003, y:2147369070
x:2147649174, y:2147329159
x:2147578106, y:2147338987
x:2147658615, y:2147387889
x:2147659569, y:2147379277
x:2147648895, y:2147308275
x:2147639336, y:2147379346
x:2147579041, y:2147308903
x:2147628153, y:2147328072
x:2147648817, y:2147387830
x:2147658228, y:2147318516
x:2147588723, y:2147379366
x:2147619038, y:2147309572
x:2147588300, y:2147329488
x:2147609145, y:2147307947
x:2147669553, y:2147358515
x:2147668213, y:2147339375
x:2147729365, y:2147318115
x:2147717685, y:2147378907
x:2147718341, y:2147369020
x:2147748605, y:2147308132
x:2147729188, y:2147328818
x:2147738412, y:2147337971
x:2147698079, y:2147378420
x:2147738446, y:2147368431
x:2147708871, y:2147338415
x:2147679204, y:2147339350
x:2147697890, y:2147339066
x:2147748209, y:2147368670
x:2147697905, y:2147369410
x:2147688968, y:2147378661
x:2147668007, y:2147309151
x:2147288906, y:2147409534
x:2147298693, y:2147417834
x:2147269459, y:2147429300
x:2147278840, y:2147428359
x:2147259408, y:2147478508
x:2147218326, y:2147409076
x:2147249680, y:2147437831
x:2147249028, y:2147428031
x:2147288613, y:2147418917
x:2147277993, y:2147477930
x:2147228980, y:2147468109
x:2147287580, y:2147429635
x:2147218972, y:2147458911
x:2147219335, y:2147449646
x:2147229279, y:2147438513
x:2147228045, y:2147478689
x:2147259447, y:2147438134
x:2147268575, y:2147448390
x:2147298352, y:2147447788
x:2147257575, y:2147459424
x:2147258929, y:2147448220
x:2147257835, y:2147467813
x:2147287999, y:2147447595
x:2147239366, y:2147397753
x:2147269319, y:2147399689
x:2147368550, y:2147429246
x:2147388702, y:2147457872
x:2147328056, y:2147439372
x:2147369093, y:2147477698
x:2147339179, y:2147398821
x:2147317808, y:2147467725
x:2147349295, y:2147459664
x:2147308761, y:2147428758
x:2147388544, y:2147427823
x:2147389417, y:2147448614
x:2147347704, y:2147449038
x:2147358661, y:2147477827
x:2147339575, y:2147458777
x:2147417676, y:2147397716
x:2147439386, y:2147459695
x:2147409581, y:2147398144
x:2147448154, y:2147439610
x:2147457719, y:2147438483
x:2147398613, y:2147437891
x:2147409602, y:2147418246
x:2147458273, y:2147417947
x:2147468250, y:2147397697
x:2147449255, y:2147418795
x:2147478942, y:2147478650
x:2147458328, y:2147409564
x:2147408306, y:2147467802
x:2147429435, y:2147448979
x:2147489402, y:2147409553
x:2147549268, y:2147419209
x:2147509225, y:2147448521
x:2147517627, y:2147449359
x:2147538245, y:2147439260
x:2147537939, y:2147458492
x:2147498944, y:2147429538
x:2147518199, y:2147458955
x:2147488046, y:2147459286
x:2147487819, y:2147429063
x:2147558375, y:2147479673
x:2147569620, y:2147429089
x:2147548468, y:2147399416
x:2147498839, y:2147477959
x:2147567951, y:2147399392
x:2147498126, y:2147408444
x:2147497711, y:2147398148
x:2147558714, y:2147428248
x:2147519078, y:2147438559
x:2147509488, y:2147438559
x:2147519607, y:2147478781
x:2147518908, y:2147468803
x:2147569016, y:2147438177
x:2147559514, y:2147437763
x:2147548381, y:2147477706
x:2147529602, y:2147437583
x:2147487960, y:2147468662
x:2147498265, y:2147419228
x:2147559057, y:2147458886
x:2147527746, y:2147428925
x:2147528305, y:2147419445
x:2147548239, y:2147428878
x:2147538036, y:2147478716
x:2147549300, y:2147459496
x:2147509548, y:2147427636
x:2147498650, y:2147439712
x:2147569448, y:2147449356
x:2147529648, y:2147468808
x:2147508106, y:2147397616
x:2147527793, y:2147478738
x:2147509461, y:2147467737
x:2147498715, y:2147448001
x:2147527991, y:2147447676
x:2147579207, y:2147467962
x:2147657601, y:2147468440
x:2147607760, y:2147409578
x:2147627625, y:2147459243
x:2147659226, y:2147427926
x:2147619427, y:2147418394
x:2147587821, y:2147399238
x:2147587750, y:2147429429
x:2147639290, y:2147469711
x:2147648042, y:2147478648
x:2147659649, y:2147408260
x:2147658933, y:2147398222
x:2147617687, y:2147398878
x:2147598673, y:2147479474
x:2147599642, y:2147417711
x:2147657854, y:2147418583
x:2147579602, y:2147397831
x:2147598050, y:2147397632
x:2147607840, y:2147468537
x:2147648320, y:2147439472
x:2147618656, y:2147429428
x:2147649509, y:2147409019
x:2147588120, y:2147477853
x:2147599456, y:2147468363
x:2147628346, y:2147417800
x:2147629515, y:2147477727
x:2147638220, y:2147478346
x:2147578241, y:2147458369
x:2147598716, y:2147448516
x:2147577685, y:2147438801
x:2147589055, y:2147438707
x:2147638790, y:2147397626
x:2147658990, y:2147448062
x:2147658194, y:2147477957
x:2147607952, y:2147457775
x:2147588251, y:2147418315
x:2147647714, y:2147459321
x:2147587636, y:2147467815
x:2147658009, y:2147438882
x:2147638547, y:2147449625
x:2147597887, y:2147428722
x:2147738515, y:2147449106
x:2147688968, y:2147407826
x:2147679638, y:2147478718
x:2147718336, y:2147398217
x:2147697584, y:2147429374
x:2147699336, y:2147439540
x:2147699076, y:2147409027
x:2147728404, y:2147428629
x:2147688459, y:2147439196
x:2147728386, y:2147458820
x:2147699453, y:2147419494
x:2147679580, y:2147438920
x:2147728338, y:2147418164
x:2147738181, y:2147478815
x:2147707740, y:2147417629
x:2147748826, y:2147448213
x:2147718373, y:2147478044
x:2147668218, y:2147458568
x:2147677756, y:2147448831
x:2147687757, y:2147418184
x:2147708533, y:2147459204
x:2147739287, y:2147439306
x:2147718942, y:2147407995
x:2147748608, y:2147479122
x:2147688689, y:2147399482
x:2147688680, y:2147448832
x:2147738981, y:2147427826
x:2147699510, y:2147459137
x:2147708734, y:2147479083
x:2147668129, y:2147427877
x:2147668306, y:2147468608
x:2147697633, y:2147448898
x:2147688795, y:2147479386
x:2147738376, y:2147467759
x:2147718714, y:2147439404
x:2147668845, y:2147398237
x:2147677832, y:2147398316
x:2147689540, y:2147429587
x:2147688935, y:2147469567
x:2147729523, y:2147438628
x:2147217961, y:2147568606
x:2147219153, y:2147548432
x:2147217674, y:2147497628
x:2147239672, y:2147568409
x:2147247642, y:2147489181
x:2147269630, y:2147499486
x:2147238914, y:2147509361
x:2147259270, y:2147537947
x:2147267585, y:2147539306
x:2147257900, y:2147557580
x:2147247975, y:2147527916
x:2147268576, y:2147548990
x:2147237955, y:2147497573
x:2147269025, y:2147519085
x:2147229408, y:2147559582
x:2147248088, y:2147558959
x:2147217670, y:2147528972
x:2147227981, y:2147549006
x:2147277660, y:2147568487
x:2147299586, y:2147567759
x:2147298103, y:2147488438
x:2147259331, y:2147489318
x:2147269571, y:2147488541
x:2147258552, y:2147569370
x:2147389078, y:2147559370
x:2147387796, y:2147508987
x:2147349512, y:2147548408
x:2147389132, y:2147499239
x:2147388164, y:2147529559
x:2147328066, y:2147528688
x:2147388404, y:2147519227
x:2147348214, y:2147538940
x:2147309058, y:2147499037
x:2147357616, y:2147518078
x:2147389148, y:2147569466
x:2147339252, y:2147489216
x:2147327757, y:2147497913
x:2147379439, y:2147557985
x:2147318067, y:2147538585
x:2147339674, y:2147538974
x:2147328863, y:2147538096
x:2147379615, y:2147549263
x:2147368278, y:2147547663
x:2147369711, y:2147498072
x:2147388205, y:2147537886
x:2147328249, y:2147548551
x:2147338513, y:2147529400
x:2147348945, y:2147489302
x:2147348551, y:2147557936
x:2147359202, y:2147539096
x:2147377605, y:2147499620
x:2147328527, y:2147567897
x:2147359614, y:2147489376
x:2147439345, y:2147539395
x:2147457879, y:2147518693
x:2147398615, y:2147539491
x:2147449280, y:2147498972
x:2147408475, y:2147527920
x:2147479547, y:2147558927
x:2147408507, y:2147519010
x:2147397806, y:2147569526
x:2147417593, y:2147558799
x:2147448471, y:2147529144
x:2147459211, y:2147509368
x:2147468456, y:2147568146
x:2147449685, y:2147537665
x:2147478047, y:2147569173
x:2147409040, y:2147558959
x:2147429326, y:2147568930
x:2147469320, y:2147498264
x:2147408172, y:2147548580
x:2147447752, y:2147549284
x:2147398782, y:2147548553
x:2147398958, y:2147487710
x:2147468660, y:2147559126
x:2147458318, y:2147558258
x:2147438660, y:2147518139
x:2147478478, y:2147489152
x:2147439378, y:2147499381
x:2147398917, y:2147529644
x:2147419675, y:2147538502
x:2147447822, y:2147519279
x:2147449009, y:2147558318
x:2147479679, y:2147527888
x:2147428056, y:2147548916
x:2147427979, y:2147527744
x:2147418959, y:2147548915
x:2147439569, y:2147568238
x:2147458100, y:2147527940
x:2147429199, y:2147519306
x:2147488618, y:2147488773
x:2147527839, y:2147518068
x:2147517741, y:2147569231
x:2147517788, y:2147549100
x:2147497786, y:2147509580
x:2147549616, y:2147558616
x:2147509570, y:2147509439
x:2147489494, y:2147498993
x:2147528279, y:2147499360
x:2147487574, y:2147539435
x:2147569062, y:2147529264
x:2147569216, y:2147519386
x:2147507826, y:2147519452
x:2147499317, y:2147487836
x:2147499070, y:2147537640
x:2147548786, y:2147509325
x:2147537640, y:2147509621
x:2147498605, y:2147558225
x:2147518616, y:2147489272
x:2147528747, y:2147548703
x:2147508025, y:2147528741
x:2147519134, y:2147517639
x:2147518418, y:2147538065
x:2147638660, y:2147529208
x:2147638663, y:2147488657
x:2147638308, y:2147559640
x:2147589011, y:2147548975
x:2147657873, y:2147509474
x:2147588853, y:2147499652
x:2147609232, y:2147499218
x:2147589576, y:2147488467
x:2147649709, y:2147558215
x:2147609616, y:2147508849
x:2147578803, y:2147498931
x:2147639706, y:2147518011
x:2147648344, y:2147519571
x:2147658617, y:2147529171
x:2147628864, y:2147527871
x:2147629135, y:2147508113
x:2147658980, y:2147569023
x:2147579124, y:2147549692
x:2147657998, y:2147499149
x:2147649701, y:2147488458
x:2147589699, y:2147508437
x:2147578677, y:2147518797
x:2147598969, y:2147508771
x:2147638484, y:2147547905
x:2147629521, y:2147539559
x:2147638246, y:2147498646
x:2147608530, y:2147529707
x:2147658964, y:2147488924
x:2147598884, y:2147559074
x:2147737756, y:2147518986
x:2147718573, y:2147529357
x:2147678140, y:2147519608
x:2147738697, y:2147567605
x:2147699719, y:2147547753
x:2147729496, y:2147508082
x:2147669231, y:2147529151
x:2147668224, y:2147559145
x:2147748568, y:2147488518
x:2147689180, y:2147499492
x:2147738056, y:2147538478
x:2147737744, y:2147499159
x:2147748507, y:2147498057
x:2147688218, y:2147488462
x:2147707850, y:2147558543
x:2147677689, y:2147539661
x:2147688550, y:2147509399
x:2147719493, y:2147498880
x:2147707997, y:2147518099
x:2147719356, y:2147509189
x:2147748144, y:2147558827
x:2147688020, y:2147568215
x:2147728035, y:2147559638
x:2147677835, y:2147568965
x:2147709475, y:2147497841
x:2147728916, y:2147568387
x:2147749388, y:2147509547
x:2147668908, y:2147509142
x:2147667920, y:2147498588
x:2147718545, y:2147518521
x:2147748333, y:2147539376
x:2147709162, y:2147528868
x:2147247702, y:2147608026
x:2147278124, y:2147608200
x:2147248472, y:2147638269
x:2147278641, y:2147629481
x:2147268251, y:2147649243
x:2147219380, y:2147598621
x:2147259243, y:2147629321
x:2147267799, y:2147619537
x:2147248857, y:2147658865
x:2147217913, y:2147579314
x:2147279376, y:2147657713
x:2147259078, y:2147579619
x:2147248840, y:2147588611
x:2147287926, y:2147599360
x:2147268837, y:2147658227
x:2147218105, y:2147588803
x:2147259360, y:2147618046
x:2147278915, y:2147577648
x:2147258749, y:2147638000
x:2147227773, y:2147657720
x:2147219600, y:2147618271
x:2147299056, y:2147638864
x:2147247813, y:2147618520
x:2147289500, y:2147659461
x:2147267844, y:2147588632
x:2147278908, y:2147618822
x:2147237886, y:2147609698
x:2147228558, y:2147649077
x:2147299093, y:2147648950
x:2147219090, y:2147638381
x:2147238006, y:2147649592
x:2147289261, y:2147588412
x:2147229183, y:2147578812
x:2147239181, y:2147589095
x:2147299172, y:2147589420
x:2147288807, y:2147648552
x:2147287597, y:2147638468
x:2147238460, y:2147599584
x:2147228155, y:2147588392
x:2147299563, y:2147577786
x:2147288245, y:2147607598
x:2147299010, y:2147628414
x:2147299700, y:2147657603
x:2147237993, y:2147639080
x:2147258016, y:2147659374
x:2147268969, y:2147578942
x:2147298745, y:2147619421
x:2147248176, y:2147648397
x:2147229547, y:2147608816
x:2147277668, y:2147598864
x:2147379035, y:2147629162
x:2147358613, y:2147648407
x:2147387608, y:2147648703
x:2147388233, y:2147639205
x:2147319401, y:2147659002
x:2147317717, y:2147597964
x:2147369347, y:2147657913
x:2147327586, y:2147598076
x:2147388668, y:2147618495
x:2147329072, y:2147609550
x:2147389155, y:2147627747
x:2147309020, y:2147648409
x:2147359303, y:2147627632
x:2147378342, y:2147588944
x:2147327752, y:2147639300
x:2147318664, y:2147638900
x:2147338666, y:2147607939
x:2147308206, y:2147599111
x:2147319260, y:2147578705
x:2147378678, y:2147649341
x:2147388460, y:2147609663
x:2147349274, y:2147618695
x:2147337727, y:2147589435
x:2147327999, y:2147579035
x:2147358111, y:2147607660
x:2147339538, y:2147628535
x:2147479193, y:2147579130
x:2147408423, y:2147639313
x:2147468045, y:2147628284
x:2147438989, y:2147648976
x:2147429079, y:2147628702
x:2147428741, y:2147608923
x:2147458940, y:2147577743
x:2147439537, y:2147589071
x:2147428566, y:2147657830
x:2147478880, y:2147589044
x:2147459277, y:2147628435
x:2147409689, y:2147659516
x:2147449702, y:2147609477
x:2147477656, y:2147657707
x:2147397917, y:2147579413
x:2147438286, y:2147638203
x:2147438989, y:2147658006
x:2147479438, y:2147648060
x:2147479140, y:2147618132
x:2147459038, y:2147597762
x:2147398788, y:2147627925
x:2147528386, y:2147638360
x:2147508533, y:2147589414
x:2147518589, y:2147629308
x:2147498143, y:2147579024
x:2147549059, y:2147598542
x:2147539274, y:2147648302
x:2147538031, y:2147577631
x:2147549621, y:2147648649
x:2147498154, y:2147629713
x:2147498488, y:2147659515
x:2147568814, y:2147589209
x:2147538581, y:2147618476
x:2147568210, y:2147578179
x:2147489284, y:2147618694
x:2147489016, y:2147578861
x:2147559182, y:2147578494
x:2147498241, y:2147607623
x:2147528762, y:2147578337
x:2147558934, y:2147637712
x:2147559476, y:2147619462
x:2147528185, y:2147649070
x:2147537929, y:2147608615
x:2147488761, y:2147628691
x:2147547688, y:2147608991
x:2147517924, y:2147637765
x:2147527826, y:2147608671
x:2147548602, y:2147588194
x:2147567636, y:2147658345
x:2147529265, y:2147588237
x:2147508866, y:2147578191
x:2147487900, y:2147609322
x:2147518529, y:2147598315
x:2147518870, y:2147647980
x:2147498515, y:2147649410
x:2147499688, y:2147618634
x:2147507744, y:2147628032
x:2147527746, y:2147629424
x:2147518082, y:2147578035
x:2147538531, y:2147658251
x:2147487985, y:2147659009
x:2147507969, y:2147598288
x:2147537635, y:2147628102
x:2147558646, y:2147588140
x:2147529560, y:2147618933
x:2147489643, y:2147588414
x:2147538009, y:2147598264
x:2147489464, y:2147647912
x:2147619381, y:2147599260
x:2147599506, y:2147638037
x:2147648148, y:2147638967
x:2147629076, y:2147647969
x:2147588440, y:2147579090
x:2147618878, y:2147619049
x:2147637925, y:2147638226
x:2147597674, y:2147607946
x:2147578796, y:2147589151
x:2147608688, y:2147609060
x:2147659024, y:2147589100
x:2147588514, y:2147628123
x:2147658905, y:2147579319
x:2147598106, y:2147629079
x:2147609408, y:2147659033
x:2147649369, y:2147619478
x:2147579137, y:2147658382
x:2147587590, y:2147598643
x:2147609064, y:2147627631
x:2147588163, y:2147648388
x:2147577696, y:2147609635
x:2147608811, y:2147579667
x:2147648434, y:2147599033
x:2147639152, y:2147658704
x:2147659587, y:2147607837
x:2147597634, y:2147588734
x:2147599051, y:2147598315
x:2147649259, y:2147658680
x:2147578928, y:2147629386
x:2147608690, y:2147649106
x:2147659605, y:2147639397
x:2147658610, y:2147657833
x:2147619072, y:2147647722
x:2147688168, y:2147659454
x:2147668400, y:2147638567
x:2147729225, y:2147608593
x:2147749280, y:2147639346
x:2147729427, y:2147579245
x:2147689610, y:2147608158
x:2147748370, y:2147598878
x:2147678026, y:2147629003
x:2147728488, y:2147657948
x:2147668827, y:2147658733
x:2147678692, y:2147607872
x:2147279180, y:2147708976
x:2147227991, y:2147718766
x:2147278374, y:2147679684
x:2147259330, y:2147718677
x:2147297919, y:2147687720
x:2147259559, y:2147709112
x:2147289367, y:2147677910
x:2147298263, y:2147708121
x:2147229259, y:2147677726
x:2147238464, y:2147709150
x:2147277845, y:2147749210
x:2147288711, y:2147707622
x:2147217636, y:2147698104
x:2147259124, y:2147699090
x:2147238962, y:2147719066
x:2147298866, y:2147729058
x:2147237634, y:2147739489
x:2147258180, y:2147679258
x:2147268455, y:2147718034
x:2147248414, y:2147729068
x:2147237778, y:2147697867
x:2147248765, y:2147677674
x:2147287961, y:2147749287
x:2147249697, y:2147688606
x:2147238941, y:2147729132
x:2147228237, y:2147688021
x:2147287743, y:2147729191
x:2147229359, y:2147727929
x:2147238013, y:2147678329
x:2147267724, y:2147728013
x:2147229472, y:2147669023
x:2147228348, y:2147698720
x:2147249367, y:2147748140
x:2147218064, y:2147679544
x:2147249315, y:2147718216
x:2147269481, y:2147739580
x:2147288811, y:2147688483
x:2147269368, y:2147708467
x:2147218206, y:2147669172
x:2147238929, y:2147668226
x:2147299099, y:2147669227
x:2147219223, y:2147707705
x:2147218423, y:2147729197
x:2147289040, y:2147719073
x:2147259033, y:2147729206
x:2147218092, y:2147687959
x:2147318638, y:2147699019
x:2147359184, y:2147748320
x:2147329225, y:2147699719
x:2147357673, y:2147708892
x:2147338860, y:2147708182
x:2147378535, y:2147708629
x:2147378284, y:2147739528
x:2147329347, y:2147678250
x:2147337800, y:2147669156
x:2147308156, y:2147707870
x:2147368113, y:2147668589
x:2147378424, y:2147687703
x:2147378296, y:2147699261
x:2147348566, y:2147727964
x:2147328771, y:2147708393
x:2147388723, y:2147727784
x:2147358975, y:2147698196
x:2147328971, y:2147667680
x:2147308101, y:2147738254
x:2147388933, y:2147718478
x:2147368418, y:2147708503
x:2147368580, y:2147718385
x:2147348156, y:2147679232
x:2147317576, y:2147719037
x:2147338850, y:2147687937
x:2147367828, y:2147748683
x:2147349710, y:2147719499
x:2147358697, y:2147667591
x:2147328228, y:2147688738
x:2147348584, y:2147668279
x:2147389692, y:2147749684
x:2147318822, y:2147679009
x:2147359301, y:2147729434
x:2147308996, y:2147667750
x:2147379608, y:2147748223
x:2147388893, y:2147737718
x:2147339092, y:2147679718
x:2147318112, y:2147738978
x:2147317865, y:2147668215
x:2147319710, y:2147709603
x:2147307711, y:2147747919
x:2147317808, y:2147687688
x:2147308393, y:2147689159
x:2147367673, y:2147729222
x:2147389035, y:2147669301
x:2147357714, y:2147688513
x:2147379258, y:2147719396
x:2147348762, y:2147738381
x:2147449546, y:2147687783
x:2147438514, y:2147739057
x:2147448182, y:2147699109
x:2147468045, y:2147708736
x:2147457760, y:2147749442
x:2147478314, y:2147737821
x:2147468805, y:2147668115
x:2147399005, y:2147668035
x:2147459131, y:2147739330
x:2147469213, y:2147719678
x:2147459402, y:2147678132
x:2147399118, y:2147749531
